table,row_locator,source_logical_locator,ownership,action,confidence,physical_locator_used,permission_name,permission_policy_basis
audit_log,"{""id"": 235}","{""id"": 235}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 236}","{""id"": 236}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 237}","{""id"": 237}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 238}","{""id"": 238}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 239}","{""id"": 239}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 240}","{""id"": 240}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 241}","{""id"": 241}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 242}","{""id"": 242}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 243}","{""id"": 243}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 244}","{""id"": 244}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 245}","{""id"": 245}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 246}","{""id"": 246}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 247}","{""id"": 247}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
audit_log,"{""id"": 248}","{""id"": 248}",FIRM-001,COPY_TO_FIRM1,HIGH,False,,
